herb,marker_compound,smiles,formula_verified,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,FractionCSP3,NumHeteroatoms,MolarRefractivity,RingCount,hc_signed,hot_cold_label,herb_pinyin,tcm_property,tcm_property_numeric,avg_atomic_radius,atomic_radius_coverage,avg_covalent_radius,covalent_radius_coverage,avg_electronegativity_pauling,electronegativity_pauling_coverage,avg_first_ionization_energy,first_ionization_energy_coverage,avg_electron_affinity,electron_affinity_coverage,avg_dipole_polarizability,dipole_polarizability_coverage,avg_density,density_coverage,avg_melting_point,melting_point_coverage,avg_thermal_conductivity,thermal_conductivity_coverage,electronegativity_spread,total_atoms,unique_elements
Birch lvs,betulin,CC(=C)C1CCC2(CCC3(C)C(CCC4C3(C)CCC3C4(C)CCC(O)C3(C)C)C12)CO,C30H50O2,442.73,6.997,40.46,2,2,2,0,0.933,2,132.06,5,1.0,1.0,,,,42.31707317073171,82/82 atoms had data,47.21951219512195,82/82 atoms had data,2.3582926829268294,82/82 atoms had data,12.74349619825366,82/82 atoms had data,0.957262768292683,82/82 atoms had data,7.011652439024391,82/82 atoms had data,0.8049599512195121,82/82 atoms had data,1407.440243902439,82/82 atoms had data,0.6930365853658538,82/82 atoms had data,1.2399999999999998,82,3
Caraway sd,carvone,CC1=CCC(CC1=O)C(=C)C,C10H14O,150.22,2.488,17.07,0,1,1,0,0.5,1,46.3,1,8.0,8.0,,,,44.4,25/25 atoms had data,49.2,25/25 atoms had data,2.3896,25/25 atoms had data,12.66396360287616,25/25 atoms had data,0.9856413399999999,25/25 atoms had data,7.2559816,25/25 atoms had data,0.8800982400000001,25/25 atoms had data,1538.0376,25/25 atoms had data,0.73872,25/25 atoms had data,1.2399999999999998,25,3
Cinnamon,cinnamaldehyde,C(=C/C=O)\c1ccccc1,C9H8O,132.16,1.899,17.07,0,1,2,1,0.0,1,41.54,1,8.0,8.0,,,,49.44444444444444,18/18 atoms had data,53.94444444444444,18/18 atoms had data,2.4438888888888886,18/18 atoms had data,12.430455002282667,18/18 atoms had data,1.0474302500000001,18/18 atoms had data,7.947604444444445,18/18 atoms had data,1.1001091111111112,18/18 atoms had data,1919.2711111111114,18/18 atoms had data,0.8771666666666667,18/18 atoms had data,1.2399999999999998,18,3
Comfrey rt,allantoin,C1(=O)NC(=O)NC1NC(=O)N,C4H6N4O3,158.12,-2.18,113.32,4,3,1,0,0.25,7,33.18,1,-3.0,-3.0,,,,51.1764705882353,17/17 atoms had data,56.470588235294116,17/17 atoms had data,2.698823529411765,17/17 atoms had data,13.271910001812707,17/17 atoms had data,0.4915874411764707,17/17 atoms had data,6.926038823529412,17/17 atoms had data,0.5181762352941177,17/17 atoms had data,928.330588235294,17/17 atoms had data,0.4490588235294118,17/17 atoms had data,1.2399999999999998,17,4
Coriander sd,linalool,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,2.67,20.23,1,1,4,0,0.6,1,49.49,0,-3.0,-3.0,,,,41.724137931034484,29/29 atoms had data,46.689655172413794,29/29 atoms had data,2.3634482758620687,29/29 atoms had data,12.79285607215338,29/29 atoms had data,0.9537177068965517,29/29 atoms had data,6.876826896551724,29/29 atoms had data,0.7587166896551725,29/29 atoms had data,1327.8268965517243,29/29 atoms had data,0.6618620689655174,29/29 atoms had data,1.2399999999999998,29,3
Fennel sd,anethole,COc1ccc(/C=C/C)cc1,C10H12O,148.2,2.728,9.23,0,1,2,1,0.2,1,47.7,1,1.0,1.0,,,,46.08695652173913,23/23 atoms had data,50.78260869565217,23/23 atoms had data,2.4060869565217393,23/23 atoms had data,12.582705307027476,23/23 atoms had data,1.0057671086956521,23/23 atoms had data,7.495013913043478,23/23 atoms had data,0.9566213913043479,23/23 atoms had data,1670.561739130435,23/23 atoms had data,0.7871739130434783,23/23 atoms had data,1.2399999999999998,23,3
Ginger rt,6-gingerol,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,C17H26O4,294.39,3.234,66.76,2,4,10,1,0.588,4,82.75,1,12.0,12.0,,,,44.255319148936174,47/47 atoms had data,49.170212765957444,47/47 atoms had data,2.4321276595744683,47/47 atoms had data,12.754394300713532,47/47 atoms had data,0.9980754680851063,47/47 atoms had data,7.0315927659574475,47/47 atoms had data,0.7959013617021279,47/47 atoms had data,1394.1161702127658,47/47 atoms had data,0.677808510638298,47/47 atoms had data,1.2399999999999998,47,3
Melissa lvs,citronellal,CC(CCC=C(C)C)CC=O,C10H18O,154.25,2.958,17.07,0,1,5,0,0.7,1,48.51,0,-4.0,-4.0,,,,41.724137931034484,29/29 atoms had data,46.689655172413794,29/29 atoms had data,2.3634482758620687,29/29 atoms had data,12.79285607215338,29/29 atoms had data,0.9537177068965517,29/29 atoms had data,6.876826896551724,29/29 atoms had data,0.7587166896551725,29/29 atoms had data,1327.8268965517243,29/29 atoms had data,0.6618620689655174,29/29 atoms had data,1.2399999999999998,29,3
Thyme lvs,thymol,CC1=CC(=C(C=C1)C(C)C)O,C10H14O,150.22,2.824,20.23,1,1,1,1,0.4,1,46.93,1,1.0,1.0,,,,44.4,25/25 atoms had data,49.2,25/25 atoms had data,2.3896,25/25 atoms had data,12.66396360287616,25/25 atoms had data,0.9856413399999999,25/25 atoms had data,7.2559816,25/25 atoms had data,0.8800982400000001,25/25 atoms had data,1538.0376,25/25 atoms had data,0.73872,25/25 atoms had data,1.2399999999999998,25,3
Turmeric rt,curcumin,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,C21H20O6,368.39,3.37,93.06,2,6,8,2,0.143,6,102.02,2,1.0,1.0,,,,49.57446808510638,47/47 atoms had data,54.234042553191486,47/47 atoms had data,2.51468085106383,47/47 atoms had data,12.55623872558979,47/47 atoms had data,1.0713846808510636,47/47 atoms had data,7.6434510638297875,47/47 atoms had data,0.983180595744681,47/47 atoms had data,1719.7659574468084,47/47 atoms had data,0.7911063829787235,47/47 atoms had data,1.2399999999999998,47,3
