marker_compound,smiles,formula_verified,verification_strength,source_files,compound_type,temperament,notes
6-gingerol,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,C17H26O4,,bartlett_verified.csv,Volatile oils,Hot-Dry,
6-gingerol,CCCCC[C@@H](CC(=O)CCC1=CC(=C(C=C1)O)OC)O,C17H26O4,,tcm_verified.csv,Volatile oils,Hot-Dry,
6-shogaol,CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC,C17H24O3,,tcm_verified.csv,Volatile oils,Hot-Dry,
aconitine,CCN1C[C@@]2([C@@H](C[C@@H]([C@@]34[C@@H]2[C@H]([C@@H](C31)[C@@]5([C@@H]6[C@H]4C[C@@]([C@@H]6OC(=O)C7=CC=CC=C7)([C@H]([C@@H]5O)OC)O)OC(=O)C)OC)OC)O)COC,C34H47NO11,,tcm_verified.csv,Alkaloids,Cold-Dry,
alisol B,CC(CC(C1C(O1)(C)C)O)C2=C3CC(C4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)C)C)O,C30H48O4,weak (PubChem self-reported formula),batch2.csv,Volatile oils,Hot-Dry,
allantoin,C1(=O)NC(=O)NC1NC(=O)N,C4H6N4O3,,bartlett_verified.csv,Unknown,Unknown,
aloin,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C(C(C(C(O4)CO)O)O)O)C=C(C=C3O)CO,C21H22O9,weak (PubChem self-reported formula),batch2.csv,Unknown,Unknown,
amygdalin,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,C20H27NO11,weak (PubChem self-reported formula),batch2.csv,Cardiac Glycosides,NS-Temperate,
andrographolide,C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@H]2C/C=C/3\\[C@@H](COC3=O)O)(C)CO)O,C20H30O5,,tcm_verified.csv,Terpenes (nonvolatile),Hot-NS,
anethole,COc1ccc(/C=C/C)cc1,C10H12O,,bartlett_verified.csv,Volatile oils,Hot-Dry,
arctigenin,COC1=C(C=C(C=C1)C[C@H]2COC(=O)[C@@H]2CC3=CC(=C(C=C3)O)OC)OC,C21H24O6,,tcm_verified.csv,Lignans,Hot-NS,
arecoline,CN1CCC=C(C1)C(=O)OC,C8H13NO2,,tcm_verified.csv,Alkaloids,Cold-Dry,
artemisinin,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,C15H22O5,,tcm_verified.csv,Terpenes (nonvolatile),Hot-NS,
astilbin,CC1C(C(C(C(O1)OC2C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,C21H22O11,weak (PubChem self-reported formula),batch1.csv,Flavonoids,Cold-NS,
astragaloside iv,CC1(C(CCC23C1C(CC4C2(C3)CCC5(C4(CC(C5C6(CCC(O6)C(C)(C)O)C)O)C)C)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(CO8)O)O)O)C,C41H68O14,,tcm_verified.csv,Saponins,Hot-Wet,
atractylenolide ii,CC1=C2CC3C(=C)CCCC3(CC2OC1=O)C,C15H20O2,,tcm_verified.csv,Volatile oils,Hot-Dry,
atractylodin,CC=CC#CC#CC=CC1=CC=CO1,C13H10O,weak (PubChem self-reported formula),batch2.csv,Unknown,Unknown,
atractyloside,CC(C)CC(=O)OC1C(C(C(OC1OC2CC(C3CCC45CC(CCC4C3(C2)C)C(=C)C5O)C(=O)O)CO)OS(=O)(=O)[O-])OS(=O)(=O)[O-].[K+].[K+],C30H44K2O16S2,weak (PubChem self-reported formula),batch2.csv,Alkaloids,Cold-Dry,
baicalin,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,C21H18O11,,tcm_verified.csv,Flavonoids,Cold-NS,
