marker_compound,smiles,canonical_smiles,formula_verified,topology_formula,topology_MolWt,topology_LogP,topology_TPSA,topology_HBD,topology_HBA,topology_RotatableBonds,topology_FractionCSP3,topology_NumHeteroatoms,topology_AromaticRings,topology_RingCount,topology_NumAliphaticRings,topology_NumSaturatedRings,topology_NumHeterocycles
betulin,CC(=C)C1CCC2(CCC3(C)C(CCC4C3(C)CCC3C4(C)CCC(O)C3(C)C)C12)CO,C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,C30H50O2,C30H50O2,442.728,6.9972,40.46,2.0,2.0,2.0,0.933333,2.0,0,5,5,5,0
carvone,CC1=CCC(CC1=O)C(=C)C,C=C(C)C1CC=C(C)C(=O)C1,C10H14O,C10H14O,150.221,2.4879,17.07,0.0,1.0,1.0,0.5,1.0,0,1,1,0,0
cinnamaldehyde,C(=C/C=O)\c1ccccc1,O=C/C=C/c1ccccc1,C9H8O,C9H8O,132.162,1.8987,17.07,0.0,1.0,2.0,0.0,1.0,1,1,0,0,0
allantoin,C1(=O)NC(=O)NC1NC(=O)N,NC(=O)NC1NC(=O)NC1=O,C4H6N4O3,C4H6N4O3,158.117,-2.1798,113.32,4.0,3.0,1.0,0.25,7.0,0,1,1,1,1
linalool,CC(=CCCC(C)(C=C)O)C,C=CC(C)(O)CCC=C(C)C,C10H18O,C10H18O,154.253,2.6698,20.23,1.0,1.0,4.0,0.6,1.0,0,0,0,0,0
anethole,COc1ccc(/C=C/C)cc1,C/C=C/c1ccc(OC)cc1,C10H12O,C10H12O,148.205,2.7283,9.23,0.0,1.0,2.0,0.2,1.0,1,1,0,0,0
6-gingerol,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,C17H26O4,C17H26O4,294.391,3.2338,66.76,2.0,4.0,10.0,0.588235,4.0,1,1,0,0,0
citronellal,CC(CCC=C(C)C)CC=O,CC(C)=CCCC(C)CC=O,C10H18O,C10H18O,154.253,2.9579,17.07,0.0,1.0,5.0,0.7,1.0,0,0,0,0,0
thymol,CC1=CC(=C(C=C1)C(C)C)O,Cc1ccc(C(C)C)c(O)c1,C10H14O,C10H14O,150.221,2.82402,20.23,1.0,1.0,1.0,0.4,1.0,1,1,0,0,0
curcumin,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,C21H20O6,C21H20O6,368.385,3.3699,93.06,2.0,6.0,8.0,0.142857,6.0,2,2,0,0,0
salicin,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,C13H18O7,C13H18O7,286.28,-1.6424,119.61,5.0,7.0,4.0,0.538462,7.0,1,2,1,1,1
cinnamaldehyde,O=C/C=C/c1ccccc1,O=C/C=C/c1ccccc1,C9H8O,C9H8O,132.162,1.8987,17.07,0.0,1.0,2.0,0.0,1.0,1,1,0,0,0
menthol,CC1CCC(C(C)C)C(O)C1,CC1CCC(C(C)C)C(O)C1,C10H20O,C10H20O,156.269,2.4395,20.23,1.0,1.0,1.0,1.0,1.0,0,1,1,1,0
chlorogenic acid,OC1CC(O)(CC(O)C1OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,O=C(/C=C/c1ccc(O)c(O)c1)OC1C(O)CC(O)(C(=O)O)CC1O,C16H18O9,C16H18O9,354.311,-0.6459,164.75,6.0,8.0,4.0,0.375,9.0,1,2,1,1,0
glycyrrhizin,CC1(C(O)=O)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@H]6O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]6O[C@H]7O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]7O)C(C)(C)[C@@H]5CC[C@]34C)[C@@H]2C1,CC1(C(=O)O)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O[C@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@@]43C)[C@@H]2C1,C42H62O16,C42H64O15,808.959,3.0666,249.97,8.0,12.0,7.0,0.880952,15.0,0,7,7,6,2
emodin,Cc1cc(O)c2c(c1)C(=O)c3cc(O)cc(O)c3C2=O,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,C15H10O5,C15H10O5,270.24,1.88722,94.83,3.0,5.0,0.0,0.066667,5.0,2,3,1,0,0
ephedrine,CC(NC)C(O)c1ccccc1,CNC(C)C(O)c1ccccc1,C10H15NO,C10H15NO,165.236,1.3279,32.26,2.0,2.0,3.0,0.4,2.0,1,1,0,0,0
ferulic acid,COc1cc(C=CC(=O)O)ccc1O,COc1cc(C=CC(=O)O)ccc1O,C10H10O4,C10H10O4,194.186,1.4986,66.76,2.0,3.0,3.0,0.1,4.0,1,1,0,0,0
hesperidin,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,C28H34O15,C28H34O15,610.565,-1.1566,234.29,8.0,15.0,7.0,0.535714,15.0,2,5,3,2,3
