herb,phlegm,sanguine,choleric,melancholic,hot,cold,wet,dry,final_balance_hc,final_balance_wd,result_4deg
Birch lvs,9,20,21,30,21,20,15,26,1H,11D,H1D3
Caraway sd,10,29,19,23,24,16,20,21,8H,1D,H2D1
Cinnamon,12,9,23,4,16,8,11,14,8H,3D,H2D1
Comfrey rt,11,6,29,31,18,21,8,30,3C,22D,C1D4
Coriander sd,7,24,24,46,24,27,16,35,3C,19D,C1D4
Fennel sd,7,18,16,24,17,16,13,20,1H,7D,H1D2
Ginger rt,10,29,13,7,21,9,20,10,12H,10W,H3W3
Hawthorn bl,11,22,33,27,28,19,17,30,9H,13D,H3D4
Melissa lvs,10,8,25,28,16,20,10,27,4C,17D,C1D4
Plantain lvs,9,14,19,31,17,20,12,26,3C,14D,C1D4
Thyme lvs,11,21,19,28,20,19,16,24,1H,8D,H1D2
Turmeric rt,12,14,25,27,20,19,13,26,1H,13D,H1D4
Willow bk,12,8,25,36,17,24,10,30,7C,20D,C2D4
Wormwood lvs,7,18,27,28,22,18,12,27,4H,15D,H1D4
Dandelion rt,?,?,?,?,30.8,19.2,26.0,24.0,11.6H,2.0W,H3W1
