Herb_cn_name,Herb_name_pinyin,Property,Flavor,Meridian
荆芥,jing jie,mildly warm,"astringent,pungent","lung,liver"
乌梅,wu mei,even,"astringent,sour","largeintestine,lung,liver,spleen"
罂粟壳,ying su ke,even,"astringent,sour","largeintestine,lung,kidney"
山茱萸,shan zhu yu,mildly warm,"astringent,sour","liver,kidney"
石榴皮,shi liu pi,warm,"astringent,sour",largeintestine
白头翁,bai tou weng,cold,bitter,"largeintestine,liver,stomach"
白鲜皮,bai xian pi,cold,bitter,"bladder,spleen,stomach"
板蓝根,ban lan gen,cold,bitter,"stomach,heart"
北豆根,bei dou gen,cold,bitter,"largeintestine,lung,stomach"
川楝子,chuan lian zi,cold,bitter,"bladder,liver,smallintestineothers"
川木通,chuan mu tong,cold,bitter,"bladder,smallintestine,heartothers"
穿心莲,chuan xin lian,cold,bitter,"bladder,largeintestine,lung,heart"
大黄,da huang,cold,bitter,"largeintestine,liver,stomach"
大青叶,da qing ye,cold,bitter,"liver,stomach,heart"
当药,dang yao,cold,bitter,"largeintestine,liver,stomach"
防己,fang ji,cold,bitter,"bladder,lung"
甘遂,gan sui,cold,bitter,"largeintestine,lung,stomach"
胡黄连,hu huang lian,cold,bitter,"largeintestine,liver,stomach"
槐角,huai jiao,cold,bitter,"largeintestine,liver"
黄柏,huang bai,cold,bitter,"bladder,kidney"
黄连,huang lian,cold,bitter,"largeintestine,gallbladder,liver,spleen,stomach,heart"
黄芩,huang qin,cold,bitter,"largeintestine,gallbladder,lung,spleen,smallintestineothers"
焦栀子,jiao zhi zi,cold,bitter,"lung,tripleburner,heartothers"
金果榄,jin guo lan,cold,bitter,"largeintestine,lung"
筋骨草,jin gu cao,cold,bitter,lung
救必应,jiu bi ying,cold,bitter,"largeintestine,lung,liver,stomach"
苦参,ku shen,cold,bitter,"bladder,largeintestine,liver,stomach,heart"
苦地丁,ku di ding,cold,bitter,"largeintestine,liver,heart"
苦楝皮,ku lian pi,cold,bitter,"liver,spleen,stomach"
苦木,ku mu,cold,bitter,"largeintestine,lung"
苦玄参,ku xuan shen,cold,bitter,"lung,liver,stomach"
莲子心,lian zi xin,cold,bitter,"kidney,heart"
蓼大青叶,liao da qing ye,cold,bitter,"stomach,heart"
龙胆,long dan,cold,bitter,"gallbladder,liver"
漏芦,lou lu,cold,bitter,stomach
芦荟,lu hui,cold,bitter,"largeintestine,liver"
马钱子,ma qian zi,cold,bitter,"liver,spleen"
木通,mu tong,cold,bitter,"bladder,smallintestine,heartothers"
千里光,qian li guang,cold,bitter,"lung,liver"
牵牛子,qian niu zi,cold,bitter,"largeintestine,lung,kidney"
茜草,qian cao,cold,bitter,liver
三颗针,san ke zhen,cold,bitter,"largeintestine,liver,stomach"
山豆根,shan dou gen,cold,bitter,"lung,stomach"
山柰,shan nai,cold,bitter,"lung,liver"
商陆,shang lu,cold,bitter,"largeintestine,lung,spleen,kidney"
射干,she gan,cold,bitter,lung
委陵菜,wei ling cai,cold,bitter,"largeintestine,liver"
鸦胆子,ya dan zi,cold,bitter,"largeintestine,liver"
预知子,yu zhi zi,cold,bitter,"bladder,gallbladder,liver,stomach"
浙贝母,zhe bei mu,cold,bitter,"lung,heart"
栀子,zhi zi,cold,bitter,"lung,tripleburner,heartothers"
白屈菜,bai qu cai,cool,bitter,"lung,stomach"
水飞蓟,shui fei ji,cool,bitter,"gallbladder,liver"
大血藤,da xue teng,even,bitter,"largeintestine,liver"
荷叶,he ye,even,bitter,"liver,spleen,stomach"
槲寄生,hu ji sheng,even,bitter,"liver,kidney"
橘核,ju he,even,bitter,"liver,kidney"
路路通,lu lu tong,even,bitter,"bladder,liver"
绵萆薢,mian bi xie,even,bitter,"kidney,stomach"
桃枝,tao zhi,even,bitter,"liver,heart"
王不留行,wang bu liu xing,even,bitter,"liver,stomach"
萹蓄,bian xu,mildly cold,bitter,bladder
穿山龙,chuan shan long,mildly cold,bitter,"lung,liver"
槐花,huai hua,mildly cold,bitter,"largeintestine,liver"
连翘,lian qiao,mildly cold,bitter,"lung,smallintestine,heartothers"
马兜铃,ma dou ling,mildly cold,bitter,"largeintestine,lung"
枇杷叶,pi pa ye,mildly cold,bitter,"lung,stomach"
青葙子,qing xiang zi,mildly cold,bitter,liver
土贝母,tu bei mu,mildly cold,bitter,"lung,spleen"
丹参,dan shen,mildly warm,bitter,"liver,heart"
北刘寄奴,bei liu ji nu,warm,bitter,"spleen,heart"
骨碎补,gu sui bu,warm,bitter,"liver,kidney"
胡芦巴,hu lu ba,warm,bitter,kidney
苦杏仁,ku xing ren,warm,bitter,"lung,largeintestine"
石吊兰,shi diao lan,warm,bitter,lung
天仙藤,tian xian teng,warm,bitter,"liver,spleen,kidney"
侧柏叶,ce bai ye,cold,"bitter,astringent","largeintestine,liver,heart"
四季青,si ji qing,cool,"bitter,astringent","bladder,largeintestine,lung"
枸骨叶,gou gu ye,even,"bitter,astringent",stomach
柿蒂,shi di,even,"bitter,astringent",stomach
仙鹤草,xian he cao,even,"bitter,astringent","liver,heart"
岩白菜,yan bai cai,even,"bitter,astringent","lung,liver,spleen"
棕榈,zong lv,even,"bitter,astringent","largeintestine,lung,liver"
拳参,quan shen,mildly cold,"bitter,astringent","largeintestine,lung,liver"
诃子,he zi,even,"bitter,astringent,sour","largeintestine,lung"
地榆,di yu,mildly cold,"bitter,astringent,sour","largeintestine,liver"
黄山药,huang shan yao,even,"bitter,mildly pungent","stomach,heart"
夏天无,xia tian wu,warm,"bitter,mildly pungent",liver
龙葵,long kui,cold,"bitter,mildly sweet","bladder,liver,kidney"
偏头七,pian tou qi,cold,"bitter,mildly sweet","liver,spleen,kidney"
竹根七,zhu gen qi,cold,"bitter,mildly sweet","liver,spleen,kidney"
木鳖子,mu bie zi,cool,"bitter,mildly sweet","liver,spleen,stomach"
半枝莲,ban zhi lian,cold,"bitter,pungent","lung,liver,kidney"
常山,chang shan,cold,"bitter,pungent","liver,spleen"
积雪草,ji xue cao,cold,"bitter,pungent","liver,spleen,kidney"
马鞭草,ma bian cao,cold,"bitter,pungent","liver,spleen"
满山红,man shan hong,cold,"bitter,pungent",lung
牛蒡子,niu bang zi,cold,"bitter,pungent","lung,stomach"
青蒿,qing hao,cold,"bitter,pungent","gallbladder,liver"
豨莶草,xi xian cao,cold,"bitter,pungent","liver,kidney"
夏枯草,xia ku cao,cold,"bitter,pungent","gallbladder,liver"
郁金,yu jin,cold,"bitter,pungent","lung,liver,heart"
紫花地丁,zi hua di ding,cold,"bitter,pungent","liver,heart"
冰片,bing pian,cool,"bitter,pungent","lung,heart"
雷公藤,lei gong teng,cool,"bitter,pungent","liver,tripleburner,kidneyothers"
一枝黄花,yi zhi huang hua,cool,"bitter,pungent","lung,liver"
大叶紫珠,da ye zi zhu,even,"bitter,pungent","lung,liver,stomach"
桔梗,jie geng,even,"bitter,pungent",lung
老鹳草,lao guan cao,even,"bitter,pungent","liver,spleen,kidney"
两面针,liang mian zhen,even,"bitter,pungent","liver,stomach"
没药,mo yao,even,"bitter,pungent","liver,spleen,heart"
南鹤虱,nan he shi,even,"bitter,pungent","spleen,stomach"
秦艽,qin jiao,even,"bitter,pungent","gallbladder,liver,stomach"
青风藤,qing feng teng,even,"bitter,pungent","liver,spleen"
三棱,san leng,even,"bitter,pungent","liver,spleen"
肿节风,zhong jie feng,even,"bitter,pungent","liver,heart"
